packed_key,from_node_id,to_node_id,stage2_anchor_source,period,qvdf_start_speed_mph,qvdf_end_speed_mph,boundary_status
403726947418,94,21594,stage1_assignment_speed_mph,PM,16.9597,16.9435,both
403726947767,94,21943,stage1_assignment_speed_mph,PM,16.85955,16.8164,both
408021913476,95,20356,stage1_assignment_speed_mph,PM,16.9774,16.9683,both
408021913829,95,20709,stage1_assignment_speed_mph,PM,16.9017,16.8768,both
408021913830,95,20710,stage1_assignment_speed_mph,PM,16.99315,16.9909,both
408021914672,95,21552,stage1_assignment_speed_mph,PM,16.98945,16.9839,both
412316881121,96,20705,stage1_assignment_speed_mph,PM,16.9501,16.9362,both
412316881964,96,21548,stage1_assignment_speed_mph,PM,16.96955,16.9629,both
412316881965,96,21549,stage1_assignment_speed_mph,PM,16.9896,16.9858,both
412316881967,96,21551,stage1_assignment_speed_mph,PM,16.9622,16.9572,both
416611849258,97,21546,stage1_assignment_speed_mph,PM,16.9622,16.9534,both
416611849259,97,21547,stage1_assignment_speed_mph,PM,16.93765,16.9116,both
416611849663,97,21951,stage1_assignment_speed_mph,PM,16.9921,16.987,both
420906816494,98,21486,stage1_assignment_speed_mph,PM,16.86095,16.8212,both
420906816553,98,21545,stage1_assignment_speed_mph,PM,16.9918,16.9842,both
420906816554,98,21546,stage1_assignment_speed_mph,PM,16.8896,16.848,both
425201783017,99,20713,stage1_assignment_speed_mph,PM,16.98565,16.979,both
425201783847,99,21543,stage1_assignment_speed_mph,PM,16.97095,16.9597,both
425201783848,99,21544,stage1_assignment_speed_mph,PM,16.971,16.9594,both
425201784255,99,21951,stage1_assignment_speed_mph,PM,16.9994,16.9992,both
429496750305,100,20705,stage1_assignment_speed_mph,PM,16.99865,16.9983,both
429496750310,100,20710,stage1_assignment_speed_mph,PM,16.9393,16.9323,both
429496750312,100,20712,stage1_assignment_speed_mph,PM,16.9947,16.9915,both
429496750313,100,20713,stage1_assignment_speed_mph,PM,16.94035,16.9204,both
433791717633,101,20737,stage1_assignment_speed_mph,PM,16.95715,16.9418,both
433791718438,101,21542,stage1_assignment_speed_mph,PM,16.92925,16.9026,both
433791718439,101,21543,stage1_assignment_speed_mph,PM,16.9616,16.9464,both
433791718848,101,21952,stage1_assignment_speed_mph,PM,16.99725,16.9948,both
438086685679,102,21487,stage1_assignment_speed_mph,PM,16.97055,16.9619,both
438086685680,102,21488,stage1_assignment_speed_mph,PM,16.96,16.9512,both
438086685681,102,21489,stage1_assignment_speed_mph,PM,16.94825,16.9369,both
438086686146,102,21954,stage1_assignment_speed_mph,PM,16.99785,16.9965,both
442381652234,103,20746,stage1_assignment_speed_mph,PM,16.97015,16.9644,both
442381652972,103,21484,stage1_assignment_speed_mph,PM,16.9994,16.9992,both
442381652974,103,21486,stage1_assignment_speed_mph,PM,16.9803,16.9756,both
446676620267,104,21483,stage1_assignment_speed_mph,PM,16.9992,16.999,both
446676620268,104,21484,stage1_assignment_speed_mph,PM,16.9479,16.9257,both
446676620269,104,21485,stage1_assignment_speed_mph,PM,16.9182,16.8917,both
450971586860,105,20780,stage1_assignment_speed_mph,PM,16.9472,16.9346,both
450971587561,105,21481,stage1_assignment_speed_mph,PM,16.9625,16.953,both
450971587563,105,21483,stage1_assignment_speed_mph,PM,16.94505,16.9352,both
450971587567,105,21487,stage1_assignment_speed_mph,PM,16.9787,16.9713,both
455266554160,106,20784,stage1_assignment_speed_mph,PM,16.9744,16.9688,both
455266554857,106,21481,stage1_assignment_speed_mph,PM,16.9291,16.9209,both
455266554858,106,21482,stage1_assignment_speed_mph,PM,17.0,17.0,both
455266556877,106,23501,stage1_assignment_speed_mph,PM,16.9837,16.9802,both
459561521457,107,20785,stage1_assignment_speed_mph,PM,28.99255,28.9927,both
459561521458,107,20786,stage1_assignment_speed_mph,PM,28.9847,28.9864,both
459561521461,107,20789,stage1_assignment_speed_mph,PM,28.992,28.9884,both
459561521465,107,20793,stage1_assignment_speed_mph,PM,28.98185,28.9858,both
